seg_id_nat,year,month,n,ANN,RGCN,RGCN_ptrn,RNN,range
2037,2007,6,30,0.764100496,0.462144878,0.700532831,1.534484744,3.5
2037,2007,7,31,0.638302743,0.463376472,0.976803261,1.358623798,3
2037,2007,8,31,0.560910051,0.374549028,0.874367726,0.954225123,3
2037,2008,7,31,0.832518892,0.631790031,0.709658678,0.975665363,3
2037,2008,8,31,0.619263115,0.349095046,0.744558858,0.85062047,3
2037,2009,7,31,0.707402317,0.471076259,0.779550993,0.890896206,3
2037,2009,8,31,0.956889983,0.566219757,0.677340223,1.334589812,3
2037,2010,6,30,0.725781851,0.426449747,0.788295861,1.099955227,3
2037,2010,7,31,0.967047657,0.676544638,1.027682636,1.142296117,3
2037,2010,8,31,0.738591301,0.466831891,0.87335659,1.075681529,3
2037,2011,6,30,0.629827096,0.471955202,0.662789356,1.450741948,3
2037,2011,7,31,1.254793816,0.812034119,0.963374178,1.071482128,3
2037,2011,8,31,1.105339856,0.856653218,0.992997901,1.133507277,3
2037,2012,6,30,0.81807797,0.395203413,0.687108372,0.986327174,3
2037,2012,7,31,0.985191247,0.555226459,0.901287219,0.800783407,3
2037,2012,8,31,0.508372697,0.309670829,0.618258227,0.557395326,3
2037,2013,6,30,0.816085215,0.721316156,0.584073409,0.779779118,3
2037,2013,7,31,0.707319646,0.592900561,0.818122419,0.96669835,3
2037,2013,8,31,0.602736675,0.707983023,0.967706616,0.98625794,3.5
2037,2014,6,30,0.626599184,0.412792298,0.542029873,1.186465206,3.5
2037,2014,7,31,0.63143606,0.32681378,0.712614312,1.230571001,3.5
2037,2014,8,31,0.663821209,0.528547374,0.988660872,1.234736028,3.5
2037,2015,6,30,0.969646549,0.657879096,0.56770499,1.048938468,3.5
2037,2015,7,31,1.022625219,0.734293432,0.430892989,0.485668237,3.5
2037,2015,8,31,0.737340838,0.417645588,0.455450827,0.805057756,3.5
2037,2016,7,30,0.784656428,0.586660127,0.972115272,0.865997665,3.5
2037,2016,8,31,1.106424216,0.774552032,0.535046876,0.648254667,3.5
2046,2007,7,31,2.039841278,1.355233949,1.113163644,1.166020577,3.5
2046,2007,8,31,2.335938861,1.36260609,0.934547146,1.444556828,3.5
2046,2008,6,30,2.137618814,1.781736186,1.792477168,2.098894307,3.5
2046,2008,7,31,2.682327835,2.097466699,1.388384577,1.590917445,3.5
2046,2008,8,31,2.049723804,1.223120995,1.008016182,1.425755925,3.5
2046,2009,6,30,0.919717666,0.908708685,1.406623407,1.318451231,3.5
2046,2009,7,31,1.906524753,1.213480475,1.525221343,1.958750319,4
2046,2009,8,31,2.0216969,1.189224812,1.162740903,1.064625965,4
2046,2010,6,30,1.955226182,1.73693663,1.391125402,1.566821072,4
2046,2010,7,31,3.02256555,2.238370935,1.446355382,1.509861169,4
2046,2010,8,31,2.485722109,1.470224956,1.088481729,1.277224564,4
2046,2011,6,29,1.596368632,1.352443082,1.508188086,1.283588109,4
2046,2011,7,31,3.151523654,2.506813424,1.472871191,1.909014174,4
2046,2011,8,31,2.420536732,1.732550864,1.546997472,1.370841117,4
2046,2012,6,29,1.707719111,1.838007567,1.710957014,1.628402899,4
2046,2012,7,30,2.741042075,2.268751784,1.399463736,1.676430411,4
2046,2012,8,29,2.565709569,1.653942589,1.025583859,1.637823466,4
2046,2013,6,29,1.336623801,1.784980137,1.992622111,1.430305322,4
2046,2013,7,31,2.378764427,1.470603064,1.045459609,1.289493741,4
2046,2013,8,31,1.087110731,0.547556019,0.422382029,0.945164293,3.5
2046,2014,6,30,1.160910849,0.890375097,1.625021285,1.207385595,3.5
2046,2014,7,31,2.102644863,1.303083235,1.017750031,1.273168553,3.5
2046,2014,8,31,1.54828921,0.558969117,0.79369456,1.194594422,3.5
2046,2015,6,30,2.03331317,1.965063304,1.93438109,1.592718143,3.5
2046,2015,7,31,2.6866818,2.016350334,1.828501776,2.124687711,3.5
2046,2015,8,31,2.507994006,1.468499006,1.198054472,1.77332803,3.5
2046,2016,6,30,2.035561024,1.943420202,2.114181833,2.407532448,3.5
2046,2016,7,31,2.828085422,2.250078022,1.405624756,1.845954136,3.5
2046,2016,8,31,3.381342909,2.277928075,1.734137811,2.182012913,3.5
