id,seg_id_nat,year,month,n,experiment,ANN,RGCN,RGCN_ptrn,RNN
a307,2023,2009,8,1,d100,2.514590912,3.8611409,2.444387131,2.459466629
a308,2027,2009,8,1,d100,0.439831009,1.078884354,0.417649994,0.653188477
a309,2030,2009,8,1,d100,3.08833107,2.814205017,2.542037811,3.337367859
a310,2031,2009,8,1,d100,2.476341858,2.138739243,2.861115112,1.05006279
a311,2033,2009,8,1,d100,3.545511246,2.817775726,1.963209152,1.39017868
a312,2034,2009,8,1,d100,2.151612778,3.413192291,1.744990845,1.593286057
a313,2036,2009,8,1,d100,1.351448746,2.290320129,0.971972198,1.82064888
a314,2037,2009,8,31,d100,0.956889983,0.566219757,0.677340223,1.334589812
a315,2044,2009,8,1,d100,1.030499878,2.076722565,1.608298721,3.11432785
a316,2046,2009,8,31,d100,2.0216969,1.189224812,1.162740903,1.064625965
a317,2007,2010,6,30,d100,1.076877179,1.076316659,1.109565387,1.405948622
a318,2012,2010,6,28,d100,1.006053751,0.576428444,0.455038882,1.568766749
a319,2013,2010,6,27,d100,1.035471485,1.04616412,0.530215806,0.668536439
a320,2014,2010,6,29,d100,1.524478417,0.794470914,0.945986736,1.335238675
a321,2019,2010,6,1,d100,0.108848572,0.456892014,0.541759491,0.555391312
a322,2020,2010,6,1,d100,3.804103241,2.620601044,2.082482681,2.927491531
a323,2021,2010,6,1,d100,1.375960922,1.083089447,2.510303116,0.36317215
a324,2023,2010,6,1,d100,2.716621017,3.650880432,1.230176544,1.142915344
a325,2027,2010,6,1,d100,0.651600494,0.91306366,2.107825623,1.376712189
a326,2030,2010,6,1,d100,2.762299271,1.967808456,1.06154892,1.427069397
a327,2031,2010,6,1,d100,2.938311691,1.782900925,1.349423523,0.426091309
a328,2033,2010,6,1,d100,2.590008926,1.778292847,1.186644745,0.331116486
a329,2034,2010,6,1,d100,2.216743393,3.035959167,0.37135498,0.478725357
a330,2036,2010,6,1,d100,1.919443283,2.381616745,0.660545502,1.715185318
a331,2037,2010,6,30,d100,0.725781851,0.426449747,0.788295861,1.099955227
a332,2044,2010,6,1,d100,2.722897568,2.802374878,1.490111389,3.373770752
a333,2046,2010,6,30,d100,1.955226182,1.73693663,1.391125402,1.566821072
a334,2007,2010,7,31,d100,1.847649079,1.49774872,1.340657554,2.288666252
